"A1001","ADARSHA VIDYAMANDIR"
"A1043","PANCHKARI RADHARANI ADARSHA VIDYALAYA"
"A1044","PARK CIRCUS HIGH SCHOOL"
"A1045","PURBA KALIKATA ADARSHA VIDYAMANDIR"
"A1046","PURBA KALIKATA VIDYAYATAN FOR BOYS"
"A1047","RAGHUMAL ARYA VIDYALAYA"
"A1048","RANI RASHMONI HIGH SCHOOL"
"A1050","SANAT ROY CHOUDHURY INSTITUTION"
"A1051","SANSKRIT COLLEGIATE SCHOOL"
"A1052","SARASWATI SADAN HIGH SCHOOL"
"A1053","SARAT CHANDRA SUR INSTITUTION"
"A1054","SHREE SARADA VIDYALAYA"
"A1057","SREE BHAMASAH ARYA VIDYALAYA"
"A1058","SREE JAIN VIDYALAYA"
"A1059","ST. ANTHONY'S HIGH SCHOOL"
"A1060","ST.PAUL'S HIGH SCHOOL"
"A1061","ST.PETER'S HIGH SCHOOL"
"A1062","ST.RAVIDAS H SCHOOL"
"A1065","TALTALA HIGH SCHOOL"
"A1066","A.I.W.C.BUNIYADI VIDYAPITH GIRLS HIGH SCHOOL"
"A1068","ANJUMAN GIRLS HIGH SCHOOL"
"A1069","ANJUMAN MUFIDUL ISLAM GIRLS H SCHOOL"
"A1070","ARYA KANYA MAHAVIDYALAYA"
"A1071","BAITULMAL GIRLS HIGH SCHOOL"
"A1072","BANI VIDYAMANDIR GIRLS HIGH SCHOOL"
"A1073","BAPTIST GIRLS SCHOOL (GOVT SPONS)"
"A1074","BELIAGHATA DESHBANDHU GIRLS HIGH SCHOOL"
"A1075","BELIAGHATA SANTI SANGHA VIDYATAN FOR GIRLS"
"A1076","BHAGABATI BALIKA VIDYALAYA"
"A1077","BHUTNATH MAHAMAYA GIRLS HIGH SCHOOL"
"A1078","BIDYA BITHI BALIKA VIDYALAYA"
"A1080","BRAHMO BALIKA SIKSHALAYA"
"A1081","C.M.O.GIRLS' HIGH SCHOOL"
"A1082","CALCUTTA ANGLO GUJRATHI SCHOOL FOR GIRLS"
"A1083","CENTRAL CALCUTTA GIRLS ACADEMY"
"A1084","CHRISTOPHER RD. GOVT.SPON. H.SCHOOL FOR GIRLS"
"A1085","CONVENT OF OUR LADY OF PROVIDENCE HIGH SCHOOL"
"A1086","DESHBANDHU BALIKA VIDYAPITH"
"A1087","DEVENDRA VIDYAPITH FOR GIRLS"
"A1088","EAST POINT SCHOOL FOR GIRLS"
"A1090","ENTALLY HINDU BALIKA VIDYAMANDIR"
"A1091","GIRINDRA BALIKA VIDYALAYA"
"A1092","HOLY CHILD GIRLS HIGH SCHOOL"
"A1093","JAYASAWAL VIDYAMANDIR FOR GIRLS"
"A1094","JEEVA SHIVA MISSION KIRONCHANDRA GIRLS HIGH SCHOOL"
"A1097","KALIKAMALA VIDYAPITH FOR GIRLS"
"A1098","KAMALA VIDYAMANDIR HIGH SCHOOL FOR GIRLS"
"A1100","KHANNA HIGH SCHOOL FOR GIRLS"
"A1101","KISHORE VIDYAPITH FOR GIRLS"
"A1103","LEE MEMORIAL GIRLS HIGH SCHOOL"
"A1105","LORETO DAY SCHOOL (SEALDAH)"
"A1107","METROPOLITAN INSTITUTION (MAIN) FOR GIRLS"
"A1108","METROPOLITAN INSTN FOR GIRLS (BOWBAZAR)"
"A1109","MITRA BALIKA VIDYALAYA"
"A1110","NARIKELDANGA GIRLS' HIGH SCHOOL"
"A1112","NEW NATIONAL HIGH SCHOOL FOR GIRLS"
"A1113","PANCHAJANYA HIGH SCHOOL FOR GIRLS"
"A1114","PANCHKARI RADHA RANI ADARSHA VIDYALAYA-GIRLS"
"A1115","PARK CIRCUS GIRLS HIGH SCHOOL"
"A1116","PATWAR BAGAN GIRLS HIGH SCHOOL"
"A1118","RAMMOHAN VIDYAMANDIR FOR GIRLS HIGH SCHOOL"
"A1119","SAKHAWAT MEMORIAL GOVT.GIRLS HIGH SCHOOL"
"A1120","SANAT ROYCHOWDHURY INSTITUTION FOR GIRLS"
"A1121","SARADA VIDYA BHAWAN"
"A1122","INDRANI MEMORIAL GIRLS' HIGH SCHOOL"
"A1123","SREE BIDYAMANDIR GIRLS HIGH SCHOOL"
"A1125","SRIMATI JAHAR NANDI VIDYAPITH"
"A1126","ST.MARY'S GIRLS HIGH SCHOOL (LORETO CONVENT)"
"A1127","SURAH KANYA VIDYALAYA"
"A1128","SURENDRANATH COLLEGIATE SCHOOL FOR GIRLS"
"A1129","TAKI HOUSE GOVT.SPONS.MULTIPURPOSE GIRLS SCHOOL"
"A1130","TALTALA HIGH SCHOOL FOR GIRLS"
"A1132","VICTORIA INSTITUTION"
"A1133","ST MICHAEL'S ACADEMY"
"A1134","JANAKALYAN SIKSHA MANDIR HIGH SCHOOL (CO-ED)"
"A1135","SUBHASH VIDYAPITH GIRLS' HIGH SCHOOL"
"A1136","ANJUMAN ISLAMIA GIRLS HIGH SCHOOL"
"A1137","GOBRA KAZI NAZRUL SATABARSHIKI SHIKSHAYATAN (CO-ED)"
"A1138","PARSI BAGAN HIGH SCHOOL FOR GIRLS (URDU MEDIUM)"
"A1139","CALCUTTA DEAF & DUMB HIGH SCHOOL"
"A1140","KARAYA GOVT. SCHOOL"
"A1141","KASIA BAGAN URDU GIRLS' HIGH SCHOOL"
"A1142","CHOWRINGHEE HIGH SCHOOL"
"A1143","PURBA KALIKATA ODIA HIGH SCHOOL"
"A1144","ST LAETITIA'S HIGH SCHOOL"
"A1145","THE ASSEMBLY OF GOD CHURCH(HINDI MEDIUM)(HIGH SCHOOL)"
"A1146","JNANENDU SIKSHA NIKETAN (HIGH SCHOOL)"
"A1147","A K FAZLUL HAQUE GIRLS' HIGH SCHOOL"
"A1148","PROGRESSIVE DAY SCHOOL(HIGH)"
"A1149","CHILDREN'S HAPPY HOME(HIGH SCHOOL)"
"A1150","ABUL HASAN HIGH SCHOOL"
"A1151","GOVERNMENT WOODBURN M E SCHOOL (HIGH SCHOOL)"
"A1152","SRI GANDHI VIDYALAYA(MORNING)(HIGH SCHOOL)"
"A1153","SACRED HEART CHINESE SCHOOL(HIGH SCHOOL)"
"A2001","ADARSH MADHYAMIK VIDYALAYA"
"A2002","ADARSH SIKSHANIKETAN"
"A2003","ADARSHA VIDYAPITH"
"A2004","AHIRITOLA BANGA VIDYALAYA"
"A2005","AMAR BHARATI H SCHOOL"
"A2007","ARYA VIKAS VIDYALAYA"
"A2008","B.T.ROAD GOVT.SPONSORED HIGH SCHOOL"
"A2009","BAGHBAZAR HIGH SCHOOL"
"A2010","BAGMARI MANIKTALA GOVT SPON HIGH SCHOOL"
"A2011","BELGACHIA MONOHAR ACADEMY"
"A2012","BHABATARAN SARKAR BIDYALAYA"
"A2015","CALCUTTA JUBILEE INSTITUTION"
"A2016","CALCUTTA TRAINING ACADEMY"
"A2017","CALCUTTA VIDYA BHABAN"
"A2019","COSSIPORE GOPESWAR DUTTA FREE SCHOOL"
"A2021","COSSIPORE INSTITUTION"
"A2022","SREE GOPAL VIDYAMANDIR"
"A2023","COSSIPORE SREE SANATAN DHARMA VIDYALAYA"
"A2024","COSSIPUR GUN & SHELL FACTORY HIGH SCHOOL"
"A2025","DESHBANDHU VIDYALAYA"
"A2026","DUM DUM KUMAR ASHUTOSH INSTITUTION (DUM DUM BR.)"
"A2027","DUM DUM KUMAR ASHUTOSH INSTITUTION (MAIN)"
"A2028","EAST CALCUTTA NATIONAL SCHOOL"
"A2029","GYAN BHARATI VIDYAPITH"
"A2030","HARANATH HIGH SCHOOL"
"A2031","HARE SCHOOL"
"A2032","JAIN SIKSHANIKETAN"
"A2034","KAMALA SIKSHA SADAN"
"A2035","KESHUB ACADEMY"
"A2036","MAHARAJA COSSIMBAZAR POLYTECNIC INSTITUTE"
"A2037","MD.JAN HIGH SCHOOL"
"A2039","MURARIPUKUR GOVT.SPONSORED HIGH SCHOOL"
"A2040","PAIKPARA KUMAR ASUTOSH INSTITUTION"
"A2041","PAIKPARA RAJA MONINDRA MEMO.HIGH SCHOOL"
"A2043","PARK INSTITUTION"
"A2044","PRAFULLA PRATAP VIDYAYATAN"
"A2045","PRESIDENCY MUSLIM HIGH SCHOOL"
"A2046","RANI BHABANI SCHOOL"
"A2047","S.B.MODERN HIGH SCHOOL"
"A2050","SAILENDRA SIRCAR VIDYALAYA  GOVT SPON."
"A2051","SARADACHARAN ARYAN INSTITUTION"
"A2052","SARADAPRASAD INSTITUTION"
"A2053","SARASWAT KSHATRIYA VIDYALAYA"
"A2054","SARWODAY VIDYALAYA"
"A2055","SCOTTISH CHURCH COLLEGIATE SCHOOL"
"A2056","SEAL'S FREE COLLEGE"
"A2057","SHREE ADARSHA HINDI HIGH SCHOOL"
"A2059","SHYAMBAZAR A.V.SCHOOL"
"A2061","SHYAMBAZAR VIDYAMANDIR"
"A2062","SILPAKALA SIKSHAMANDIR FOR BOYS"
"A2063","SINTHEE RAMKRISHNA SANGHA VIDYAMANDIR"
"A2064","SREE BALKRISHNA VITHALNATH VIDYALAYA"
"A2065","SREE DIDOO MAHESHWARI PANCHAYAT VIDYALAYA"
"A2067","SREE DIGUMBER JAIN VIDYALAYA"
"A2068","SREE JAIN SWETAMBAR TERAPANTHI VIDYALAYA"
"A2069","SREE MAHESHWARI VIDYALAYA"
"A2070","SREE SANATAN DHARMA VIDYALAYA"
"A2071","SREE VIDYANIKETAN"
"A2072","SREE VISUDDHANANDA SARASWATI VIDYALAYA"
"A2073","TANTIA HIGH SCHOOL"
"A2074","THE ORIENTAL SEMINARY"
"A2075","TOWN SCHOOL"
"A2076","ULTADANGA UNITED HIGH SCHOOL"
"A2077","VIDYAPATI VIDYAMANDIR"
"A2078","ADARSHA BALIKA VIDYALAYA"
"A2079","ADI MAHAKALI PATHSALA"
"A2080","AHIRITOLA BANGA VIDYALAYA FOR GIRLS"
"A2083","BAGBAZAR MULTIPURPOSE GIRLS SCHOOL (GOVT. SPONS.)"
"A2084","BALIKA SIKSHASADAN"
"A2085","BALIKA VIDYABHABAN"
"A2086","BANIPITH GIRLS HIGH SCHOOL"
"A2087","BELGACHIA KUMUDINI KANYA VIDYAMANDIR"
"A2088","BETHUNE COLLEGIATE SCHOOL"
"A2090","BINAPANI PURDAH GIRLS' SCHOOL"
"A2091","COSSIPORE AMIYABALA BALIKA VIDYALAYA"
"A2092","COSSIPORE INSTITUTION FOR GIRLS"
"A2094","COSSIPORE SRIGOPAL VIDYAMANDIR FOR GIRLS"
"A2095","COSSIPORE ST. NINIANS HIGH SCHOOL FOR GIRLS"
"A2096","DUFF HIGH SCHOOL FOR GIRLS"
"A2097","DUM DUM ROAD GOVT SPON.HIGH SCHOOL"
"A2098","GIRIBALA SARKAR BALIKA VIDYALAYA"
"A2099","GYAN BHARATI BALIKA VIDYALAYA"
"A2101","HOLY CHILD INSTITUTE FOR GIRLS"
"A2102","KUMAR ASHUTOSH INSTITUTION FOR GIRLS"
"A2103","MAHARAJA COSSIMBAZAR SABITRI SIKSHALAYA"
"A2104","MAHESWARI BALIKA VIDYALAYA"
"A2106","MANIKTOLA SHIKSHA BHABAN GIRLS HIGH SCHOOL"
"A2107","MARWARI BALIKA VIDYALAYA"
"A2109","METROPOLITAN INSTITUTION FOR GIRLS (BURRABAZAR)"
"A2110","NABAJATAK VIDYABHABAN FOR GIRLS"
"A2113","NARI SIKSHA MANDIR"
"A2114","NORTH END GIRLS HIGH SCHOOL"
"A2115","ORIENTAL SEMINARY FOR GIRLS"
"A2116","PAIKPARA RAMKRISHNA VIDYALAYA FOR GIRLS"
"A2117","PARK INSTITUTION FOR GIRLS"
"A2118","PEARY CHARAN GIRLS HIGH SCHOOL"
"A2119","RAMJAY SEAL SISHU PATHSALA"
"A2120","RAMAKRISHNA SARADA MISSION SISTER NIVEDITA GIRLS' SCHOOL"
"A2121","RANI SATARUPA BALIKA VIDYALAYA"
"A2122","SARADA PROSAD INSTITUTION FOR GIRLS"
"A2123","SARASWATI BALIKA VIDYALAYA AND SILPA SIKSHASADAN"
"A2125","SAVITRI PATHSHALA"
"A2126","SETH SOORAJMULL JALAN BALIKA VIDYALAYA"
"A2128","SHYAMBAZAR BALIKA VIDYALAYA"
"A2129","SHYAMBAZAR BALIKA VIDYAMANDIR"
"A2130","SIKSHA NIKETAN VIDYALAYA FOR GIRLS"
"A2131","SILPAKALA SIKSHA MANDIR GIRLS HIGH SCHOOL"
"A2133","SINTHI RAMKRISHNA SANGHA VIDYAMANDIR FOR GIRLS"
"A2134","SREE BALKRISHNA VITHALNATH BALIKA VIDYALAYA"
"A2135","SREE BIDYANIKETAN GIRLS HIGH SCHOOL"
"A2136","SREE DIGAMBER JAIN BALIKA VIDYALAYA"
"A2137","SREE JAIN SWETAMBER TERAPANTHI VIDYALAYA FOR GIRLS"
"A2138","SREE RAMKRISHNA SARADA SANGHA BALIKA VIDYALAYA"
"A2139","ST.MARGARET'S SCHOOL"
"A2140","SUNITY SIKSHALAYA"
"A2141","TOWN SCHOOL FOR GIRLS"
"A2142","ULTADANGA DESHBANDHU BIDYALAY FOR GIRLS"
"A2143","ULTADANGA GOVT.SPON.HIGH SCHOOL FOR GIRLS"
"A2144","ULTADANGA SAMMILITA BALIKA VIDYALAYA"
"A2145","ULTADANGA UNITED GIRLS HIGH SCHOOL"
"A2147","CHANDRAMANI MEMORIAL HIGH SCHOOL"
"A2148","BELGACHIA URDU HIGH SCHOOL (CO-ED)"
"A2149","BAITULMAL KELABAGAN HIGH SCHOOL"
"A2150","BELGACHIA MUSLIM HIGH SCHOOL"
"A2151","COSSIPORE AMAN HIGH SCHOOL"
"A3001","A.K.GHOSH MEMORIAL HIGH SCHOOL"
"A3002","ABHOY CHARAN VIDYAMANDIR"
"A3003","ADARSHA HINDI HIGH SCHOOL"
"A3004","ADARSHA HINDI HIGH SCHOOL( KHIDDERPORE BR)"
"A3005","ADARSHA VIDYABHABAN"
"A3006","ADARSHA VIDYAPITH"
"A3007","ADI BALLYGUNGE VIDYALAYA"
"A3008","ANDHRA ASSOCIATION SCHOOL"
"A3009","ANDREW'S HIGH SCHOOL"
"A3010","ARYA PARISAD VIDYALAYA"
"A3011","AZADGARH VIDYAPITH"
"A3012","BALLYGUNGE GOVT HIGH SCHOOL"
"A3013","BALLYGUNGE JAGADBANDHU INSTITUTION"
"A3016","BANI BHABAN HIGH SCHOOL"
"A3017","BHARATIYA HINDI HIGH SCHOOL"
"A3019","BIDYARTHI BHAWAN HIGH SCHOOL(BOYS' SECTION)"
"A3020","BIJOYGARH VIDYAPITH"
"A3021","BIJOYNAGAR HIGH SCHOOL"
"A3022","BIKRAMGARH HIGH SCHOOL"
"A3023","CATHEDRAL MISSION HIGH SCHOOL"
"A3024","CHAKRABERIA HIGH SCHOOL"
"A3025","CHETLA BOY'S HIGH SCHOOL"
"A3026","CPC REMOUNT ROAD INSTITUTION"
"A3027","DAKSHIN CALCUTTA ARYA VIDYALAYA"
"A3028","DESHAPRAN BIRENDRANATH INSTITUTION (BOYS)"
"A3029","HARENDRA KUSHARI VIDYAPITH"
"A3030","DHAKURIA RAMCHANDRA HIGH SCHOOL"
"A3031","DHAKURIA SREE RAMKRISHNA VIDYAPITH"
"A3032","DHAKURIA SRI RAM ROY INSTITUTION"
"A3033","GANDHI COLONY MADHYAMIK VIDYALAYA"
"A3034","HARTLEY HIGHER SECONDARY SCHOOL"
"A3036","JADAVPUR BAGHA JATIN HIGH SCHOOL"
"A3037","JADAVPUR VIDYAPITH"
"A3039","JADAVPUR HIGH SCHOOL"
"A3040","JADAVPUR N K PAUL ADARSHA SIKSHAYATAN"
"A3042","JODHPUR PARK BOYS SCHOOL"
"A3044","KAILASH VIDYAMANDIR"
"A3045","KALIDHAN INSTITUTION"
"A3046","KALIGHAT HIGH SCHOOL"
"A3048","KASBA CHITTARANJAN HIGH SCHOOL"
"A3049","KASBA JAGADISH VIDYAPITH"
"A3050","KATJUNAGAR SWARNAMOYEE VIDYAPITH"
"A3051","KHALSA ENGLISH HIGH SCHOOL"
"A3052","KHALSA HIGH SCHOOL"
"A3053","KHANPUR HIRENDRA LAL SARKAR HIGH SCHOOL"
"A3054","KIDDERPORE ACADEMY"
"A3055","KIDDERPORE MILANI HIGH SCHOOL"
"A3056","KIDDERPORE MUSLIM HIGH SCHOOL"
"A3057","KIDDERPORE ORIYA HIGH SCHOOL"
"A3058","LA MATERNELLE HIGH SCHOOL"
"A3059","LAJPAT HINDI HIGH SCHOOL"
"A3060","LAKE VIEW HIGH SCHOOL"
"A3061","M.G.RUNGTA ACADEMY"
"A3062","MITRA INSTITUTION (BHOWANIPUR BR)"
"A3064","NAKTALA HIGH SCHOOL"
"A3065","NATIONAL HIGH SCHOOL"
"A3066","NAVANALANDA HIGH SCHOOL"
"A3067","NETAJI NAGAR VIDYAMANDIR"
"A3068","NEW ALIPORE MULTIPURPOSE SCHOOL"
"A3069","PANCHA SAYAR SIKSHA NIKETAN"
"A3070","PATHA BHAVAN"
"A3071","PODDARNAGAR H SCHOOL"
"A3072","PUDDAPUKUR INSTITUTION"
"A3073","RAJENDRA NATH BIDYABHABAN"
"A3074","RAJENDRA SIKSHA SADAN"
"A3075","RAMGARH MUKUL BOSE MEMORIAL INSTITUTION"
"A3076","RAMRICK INSTITUTION"
"A3077","RUSSA SIR NRIPENDRANATH INSTITUTION"
"A3078","SAHANAGAR HIGH SCHOOL"
"A3079","SAKTIGARH HIGH SCHOOL"
"A3080","SANGHAMITRA VIDYALAYA"
"A3081","SATYABHAMA INSTITUTION"
"A3082","SHREE SHANTI NIKETAN VIDYALAYA"
"A3083","SOUTH CALCUTTA NATIONAL SCHOOL"
"A3085","SOUTH SUBARBAN BRANCH SCHOOL"
"A3086","SOUTH SUBARBAN SCHOOL (MAIN)"
"A3087","SREE JAGADAMBA HINDI HIGH SCHOOL"
"A3088","SREE JNAN BHASKAR VIDYALAYA"
"A3089","ST.BARNABAS HIGH SCHOOL"
"A3090","ST.LAWRENCE HIGH SCHOOL"
"A3091","THE NEW HORIZON HIGH SCHOOL"
"A3092","TILJALA BRAJANATH VIDYAPITH"
"A3093","TILJALA HIGH SCHOOL"
"A3094","TIRTHAPATI INSTITUTION"
"A3095","TOLLYGUNGE ADARSHA HINDI HIGH SCHOOL"
"A3096","TOLLYGUNGE ASHOKENAGAR VIDYAPITH"
"A3097","TOLLYGUNGE BANGUR HIGH SCHOOL"
"A3098","TOLLYGUNGE GIRISH CH. INSTITUTION"
"A3099","ADARSH HINDI GIRLS HIGH SCHOOL"
"A3103","BADSHAH KHAN CENTENARY GIRLS' HIGH SCHOOL"
"A3104","THE B.S.S. SCHOOL"
"A3105","BALLYGUNGE VIDYALAYA & SILPA SIKSHAYATAN"
"A3107","BANKIM GHOSE MEMORIAL GIRLS HIGH SCHOOL"
"A3109","BELTALA GIRLS HIGH SCHOOL"
"A3110","BELTALA GIRLS MORNING HIGH SCHOOL"
"A3111","BHOWANIPUR ARYA VIDYAMANDIR FOR GIRLS"
"A3112","BHOWANIPUR GIRLS' HIGH SCHOOL"
"A3114","BIDYA BHARATI GIRLS HIGH SCHOOL"
"A3115","BIJAYGARH BALIKA VIDYAPITH"
"A3116","BIJAYGARH BIDYARTHI BHAWAN HIGH SCHOOL FOR GIRLS"
"A3117","CALCUTTA GIRLS' ACADEMY"
"A3118","CARMEL HIGH SCHOOL"
"A3119","CHAPALAMOYEE GIRLS HIGH SCHOOL"
"A3120","CHETLA GIRLS HIGH SCHOOL"
"A3121","CHETLA SRI AUROBINDA VIDYAPITH"
"A3122","DESHBANDHU SISHU SIKSHALAYA"
"A3123","DESHAPRAN BIRENDRANATH INSTN FOR GIRLS"
"A3124","DESHBANDHU BALIKA VIDYALAYA"
"A3125","DHAKURIA BINODINI GIRLS HIGH SCHOOL"
"A3126","A K MITRA INSTITUTION FOR GIRLS"
"A3127","DHAKURIA PARESH NATH BALIKA BIDYALAYA"
"A3128","DHAKURIA SRI RAMKRISHNA BIDYAPITH FOR GIRLS"
"A3130","JADAVPUR ADARSHA BALIKA SIKSHAYATAN"
"A3131","JADAVPUR BAGHA JATIN BALIKA VIDYALAYA"
"A3132","JADAVPUR BEJOYGARH SIKSHANIKETAN FOR GIRLS"
"A3133","JADAVPUR GIRLS HIGH SCHOOL"
"A3134","JADAVPUR MADHYAMIK VIDYALAYA FOR GIRLS"
"A3135","JODHPUR PARK GIRLS HIGH SCHOOL"
"A3136","KALIDHAN INSTITUTION FOR GIRLS"
"A3137","KALIGHAT MAHAKALI PATHSALA"
"A3138","KALIGHAT ORIENTAL ACADEMY FOR GIRLS"
"A3139","KAMALA CHATTERJEE SCHOOL FOR GIRLS"
"A3140","KAMALA GIRLS HIGH SCHOOL"
"A3141","KAMALA NARI SIKSHA SADAN"
"A3142","KASBA BALIKA VIDYALAYA"
"A3143","KASBA CHITTARANJAN HIGH SCHOOL FOR GIRLS"
"A3144","KASBA JAGADISH VIDYAPITH FOR GIRLS"
"A3146","KHALSA GIRLS HIGH SCHOOL"
"A3147","KHANPUR NIRMALA BALA SARKAR GIRLS' HIGH SCHOOL"
"A3148","KIDDERPORE BALIKA VIDYAYATAN"
"A3149","KIDDERPORE MILANI GIRLS HIGH SCHOOL"
"A3150","KIDDERPORE SARAT CHANDRA PAL GIRLS HIGH SCHOOL"
"A3151","LAJPAT BALIKA VIDYALAYA"
"A3152","LAKE SCHOOL FOR GIRLS"
"A3153","LAKE VIEW GIRLS HIGH SCHOOL"
"A3154","MALATI VIDYABHAVAN FOR GIRLS"
"A3155","MILANGARH BALIKA VIDYALAYA"
"A3157","MULTIPURPOSE GOVT GIRLS HIGH SCHOOL"
"A3158","MURALIDHAR GIRLS HIGH SCHOOL"
"A3159","ANANDA ASHRAM BALIKA VIDYAPITH"
"A3161","NATIONAL HIGH SCHOOL FOR GIRLS"
"A3162","NEW ALIPORE SREE SARADA ASHRAMA BALIKA VIDYALAYA"
"A3164","RAJENDRA SIKSHA SADAN GIRLS HIGH SCHOOL"
"A3165","RAMGARH MUKUL BOSE MEMO. INSTN. FOR GIRLS"
"A3167","RAMRICK JARIABAI BALIKA VIDYALAYA"
"A3168","RAIPUR GIRLS' HIGH SCHOOL"
"A3169","RUSSA SIR NRIPENDRANATH GIRLS HIGH SCHOOL"
"A3170","S.B.GIRLS HIGH SCHOOL"
"A3171","SAHANAGAR GIRLS HIGH SCHOOL"
"A3172","SAHAPUR GIRLS HIGH SCHOOL"
"A3173","SIR RAMESH MITRA GIRLS HIGH SCHOOL"
"A3175","SOUTH CALCUTTA GIRLS HIGH SCHOOL"
"A3176","SREE AUROBINDA BALIKA VIDYALAYA"
"A3177","SREE R.K.ANANDA ASHRAM GIRLS HIGH SCHOOL"
"A3178","ST.JOHNS DIOCESAN GIRLS HIGH SCHOOL"
"A3179","SUJATA DEVI VIDYAMANDIR"
"A3180","TILJALA BALIKA VIDYALAYA"
"A3181","TILJALA BANITIRTHA HIGH SCHOOL FOR GIRLS"
"A3182","TOLLYGUNGE ADARSHA HINDI HIGH SCHOOL-GIRLS"
"A3183","TOLLYGUNGE GANDHI COLONY BHARATI BALIKA VIDYALAYA"
"A3184","TOLLYGUNGE GIRLS HIGH SCHOOL"
"A3185","TOLLYGUNGE NETAJINAGAR BALIKA VIDYMANDIR"
"A3186","UNITED MISSIONARY GIRLS HIGH SCHOOL"
"A3187","JAGABANDHU GIRLS HIGH SCHOOL"
"A3189","JAWAHARLAL NEHRU BALIKA VIDYAPITH"
"A3190","LIGHT HOUSE FOR THE BLIND"
"A3191","MONU MEMORIAL INSTN. (URDU MEDIUM) HIGH SCHOOL"
"A3192","SWAMI PRANABANANDA VIDYAPITH"
"A3193","JAWAHARLAL NEHRU VIDYAPITH (BOYS) HIGH SCHOOL"
"A3194","GOPABANDHU VIDYALAYA"
"A3197","SILVER POINT SCHOOL"
"A3198","WAHED MEMORIAL HIGH SCHOOL(URDU MED.)CO-ED"
"A3199","NARMADA HIGH SCHOOL(ENG MED,CO-ED)"
"A3200","V.I.P NAGAR HIGH SCHOOL"
"A3201","HEMCHANDRA INSTITUTION(HIGH SCHOOL)"
"A3202","MOLLAHAT HIGH SCHOOL"
"A3203","JAGRITI VIDYAPEETH(HIGH SCHOOL)"
"A3204","ARYA PARISHAD VIDYALAYA FOR GIRLS(HIGH SCHOOL)"
"A3205","THE CRESCENT SCHOOL(HIGH)"
"A3206","MODERN ARYA PARISHAD VIDYALAYA(HIGH SCHOOL)"
"A3207","R D MEMORIAL SCHOOL(HIGH),DHAKURIA"
"A3208","AULAD HUSSAIN ISLAMIC ACADEMY (HIGH SCHOOL)"
"A3209","AL-HAMD W.S.A. HIGH SCHOOL"
"A3210","SHRI JNAN BHASKAR BALIKA VIDYALAYA(HIGH SCHOOL)"
"A3211","ADARSHA HINDI VIDYALAYA (HIGH)"
"A3212","SOUTH ACADEMY HIGH SCHOOL"
"A3213","VIDYANJALI HIGH SCHOOL"
"A3214","LYCEE SCHOOL(HIGH)"
"A3215","HOLY MISSION ENGLISH MEDIUM HIGH SCHOOL"
"A3216","BLOOMING DALE ACADEMY (HIGH SCHOOL)"
"A3217","SREE SAMBHU SADAN VIDYALAYA (HIGH SCHOOL)"
"A3218","CHARANKABI MUKUNDA DAS HIGH SCHOOL"
"B1001","ACHARYA PRAFULLA CHANDRA HIGH SCHOOL FOR BOYS (GOVT.SPON)"
"B1002","ADARSHA MADHYAMIK VIDYALAYA"
"B1003","AGARPARA MAHAJATI VIDYAPITH"
"B1004","AGARPARA NETAJI SIKSHAYATAN"
"B1005","AHARAMPUR SAHARA BOYS HIGH SCHOOL"
"B1007","ALAMBAZAR URDU HIGH SCHOOL"
"B1008","ANGLO INDIA HIGH SCHOOL"
